Year,State,District,Rape Cases,Abduction Cases,Murder Cases,Total Crimes,Population,Crime Rate,Arrests,Crime Clearance Rate
2023,Maharashtra,Bengaluru,129,88,34,251,9832402,2.552784152,95,37.85
2021,Bengaluru,Ahmedabad,107,58,9,174,11995855,1.450501027,166,95.4
2020,West Bengal,New Delhi,295,74,29,398,18287146,2.176392095,136,34.17
2021,Gujarat,Mumbai,180,66,18,264,4672098,5.650566405,213,80.68
2023,Karnataka,Mumbai,272,61,27,360,7193896,5.004242486,59,16.39
2021,Delhi,Jaipur,255,51,32,338,26813960,1.260537422,123,36.39
2023,Maharashtra,Jaipur,213,116,16,345,9023128,3.823507768,338,97.97
2022,West Bengal,Hyderabad,156,111,34,301,26937203,1.117413712,171,56.81
2021,Karnataka,Lucknow,59,100,40,199,20670886,0.962706678,38,19.1
2021,Maharashtra,Kochi,54,81,35,170,12301437,1.381952369,81,47.65
2023,Gujarat,Kolkata,88,111,46,245,18183482,1.347376702,130,53.06
2022,Delhi,Jaipur,212,79,27,318,29663930,1.072009002,217,68.24
2022,Tamil Nadu,Ahmedabad,166,19,7,192,22370177,0.858285565,71,36.98
2023,Delhi,Mumbai,125,94,24,243,18516239,1.312361544,213,87.65
2022,Bengaluru,Kolkata,277,93,42,412,15400765,2.675191784,42,10.19
2022,Tamil Nadu,Kolkata,58,96,24,178,19413016,0.916910592,117,65.73
2022,Rajasthan,Mumbai,62,132,18,212,11511653,1.841612147,64,30.19
2021,Gujarat,Ahmedabad,85,108,30,223,27115377,0.822411578,207,92.83
2021,Karnataka,Bengaluru,88,37,32,157,26272831,0.597575495,72,45.86
2021,Uttar Pradesh,Ahmedabad,142,95,43,280,28324784,0.988533575,279,99.64
2020,Kerala,Bengaluru,111,103,36,250,25453164,0.982196162,151,60.4
2021,Gujarat,New Delhi,166,38,10,214,1768165,12.10294288,184,85.98
2021,Karnataka,Lucknow,247,10,45,302,19659934,1.536119094,236,78.15
2022,Gujarat,Ahmedabad,56,17,17,90,29402428,0.30609717,47,52.22
2021,Tamil Nadu,Lucknow,272,118,18,408,16044072,2.542995319,61,14.95
2021,Delhi,New Delhi,279,112,48,439,29514251,1.487417045,212,48.29
2022,Kerala,Lucknow,196,46,30,272,2693170,10.09962238,186,68.38
2020,Karnataka,Ahmedabad,209,123,29,361,3777376,9.556898757,149,41.27
2023,Tamil Nadu,Ahmedabad,248,38,9,295,13914852,2.120036922,153,51.86
2023,West Bengal,Ahmedabad,257,22,7,286,14112039,2.02663839,203,70.98
2020,Karnataka,Lucknow,300,58,48,406,22936308,1.770119236,98,24.14
2021,Tamil Nadu,Hyderabad,231,135,14,380,5022919,7.565322077,357,93.95
2021,West Bengal,Ahmedabad,157,138,38,333,6895557,4.829196539,212,63.66
2022,Kerala,Lucknow,273,74,15,362,4697871,7.705618141,121,33.43
2023,Uttar Pradesh,Ahmedabad,220,57,17,294,24304010,1.209676922,150,51.02
2021,Tamil Nadu,Lucknow,77,128,29,234,10790819,2.168510101,137,58.55
2022,Uttar Pradesh,Mumbai,110,142,20,272,27546654,0.987415749,238,87.5
2020,Tamil Nadu,Kolkata,87,112,13,212,18644576,1.137059915,173,81.6
2023,Maharashtra,Kochi,192,58,12,262,7537504,3.475951721,155,59.16
2020,Tamil Nadu,Mumbai,232,125,7,364,17899054,2.033627029,193,53.02
2021,Uttar Pradesh,Mumbai,193,137,50,380,8396032,4.525947495,131,34.47
2022,Kerala,Kolkata,145,14,38,197,22924964,0.859325232,142,72.08
2022,Kerala,New Delhi,92,101,5,198,20962208,0.944556986,102,51.52
2021,Delhi,Chennai,101,10,46,157,18378907,0.854240135,37,23.57
2023,Kerala,Chennai,270,109,39,418,7867539,5.312970168,330,78.95
2020,Gujarat,Jaipur,95,31,7,133,9513096,1.39807272,114,85.71
2022,Rajasthan,Chennai,220,19,14,253,5176921,4.887074769,41,16.21
2022,Karnataka,Mumbai,218,144,29,391,23780285,1.64421915,281,71.87
2023,West Bengal,Ahmedabad,181,50,12,243,3280294,7.407872587,182,74.9
2022,Gujarat,Hyderabad,54,27,42,123,5787496,2.125271447,82,66.67
2023,Maharashtra,Hyderabad,267,112,41,420,15112114,2.779227314,403,95.95
2020,Bengaluru,Lucknow,58,148,34,240,2471934,9.708997085,157,65.42
2021,Delhi,New Delhi,78,149,18,245,15379036,1.593077746,174,71.02
2023,Gujarat,Ahmedabad,113,55,17,185,9160849,2.01946348,76,41.08
2022,Delhi,Hyderabad,88,115,42,245,2749675,8.910143926,146,59.59
2023,Gujarat,Ahmedabad,264,77,33,374,9442084,3.960989968,324,86.63
2023,Gujarat,Chennai,182,109,33,324,21914772,1.478454807,206,63.58
2020,Gujarat,Kochi,211,150,14,375,28774453,1.30323937,151,40.27
2021,Rajasthan,New Delhi,241,50,20,311,6145941,5.060250334,279,89.71
2020,Delhi,Lucknow,190,81,14,285,9825594,2.900587995,240,84.21
2021,Uttar Pradesh,Bengaluru,99,113,10,222,25959811,0.855168013,193,86.94
2020,Karnataka,New Delhi,145,128,10,283,1157274,24.45401867,40,14.13
2021,Karnataka,Kolkata,192,81,33,306,25003893,1.223809428,133,43.46
2020,Tamil Nadu,Bengaluru,270,13,14,297,26086395,1.138524507,155,52.19
2021,Maharashtra,Chennai,153,11,26,190,15761241,1.205488832,51,26.84
2020,Delhi,Chennai,200,117,17,334,2205910,15.14114356,138,41.32
2021,Gujarat,New Delhi,80,106,5,191,20333523,0.9393355,139,72.77
2021,Uttar Pradesh,Lucknow,300,132,18,450,13158299,3.419894927,191,42.44
2021,Tamil Nadu,Ahmedabad,214,53,42,309,26163015,1.181056541,224,72.49
2021,Uttar Pradesh,Bengaluru,274,16,41,331,12662985,2.613917651,231,69.79
2022,Delhi,Lucknow,228,127,27,382,28941987,1.319881734,37,9.69
2021,Uttar Pradesh,Mumbai,235,30,31,296,13390891,2.21045784,200,67.57
2020,Rajasthan,Jaipur,282,26,13,321,13018479,2.465725835,65,20.25
2022,Rajasthan,Lucknow,262,109,40,411,22418232,1.83332923,201,48.91
2020,Bengaluru,New Delhi,78,75,14,167,9518982,1.754389282,141,84.43
2022,Tamil Nadu,Hyderabad,132,132,21,285,21552526,1.3223508,188,65.96
2023,Uttar Pradesh,Hyderabad,252,64,6,322,22449873,1.434306555,90,27.95
2021,Rajasthan,Kochi,124,60,30,214,21322995,1.003611359,32,14.95
2022,Maharashtra,Kochi,235,146,9,390,18451671,2.113629709,306,78.46
2020,Maharashtra,Mumbai,57,104,32,193,9791679,1.971061347,120,62.18
2023,West Bengal,New Delhi,256,96,30,382,12724869,3.001995541,369,96.6
2020,Karnataka,Chennai,197,137,35,369,12549180,2.940431168,327,88.62
2020,Bengaluru,Mumbai,70,142,18,230,25866545,0.88917944,147,63.91
2021,Uttar Pradesh,Bengaluru,277,140,12,429,15736905,2.726076061,283,65.97
2022,Bengaluru,Bengaluru,278,110,25,413,20830116,1.982706193,228,55.21
2022,West Bengal,Bengaluru,59,15,11,85,17661977,0.481259827,32,37.65
2020,Kerala,New Delhi,156,119,15,290,4096442,7.079314195,220,75.86
2023,Rajasthan,Bengaluru,287,59,42,388,1556048,24.93496345,121,31.19
2021,Delhi,New Delhi,175,110,17,302,7536982,4.006908866,59,19.54
2022,Delhi,Mumbai,113,10,17,140,25256649,0.554309481,96,68.57
2021,Bengaluru,Kochi,135,130,23,288,18111002,1.590193629,232,80.56
2020,Uttar Pradesh,Bengaluru,118,120,42,280,6459949,4.334399544,274,97.86
2020,Bengaluru,Mumbai,199,84,24,307,9679626,3.171610143,171,55.7
2021,Maharashtra,Hyderabad,98,81,10,189,22586374,0.836787702,56,29.63
2022,Tamil Nadu,Kolkata,164,74,38,276,17019046,1.621712521,39,14.13
2021,West Bengal,Ahmedabad,172,116,18,306,7151087,4.279069741,82,26.8
2020,Kerala,Chennai,122,20,13,155,6782686,2.285230364,129,83.23
2023,Delhi,Kochi,204,149,12,365,12973821,2.813357761,177,48.49
2023,Gujarat,Lucknow,202,138,46,386,11175957,3.453842924,299,77.46
2022,Bengaluru,New Delhi,128,105,44,277,26447518,1.047357261,199,71.84
2020,Tamil Nadu,New Delhi,293,73,42,408,26138212,1.560933089,110,26.96
2022,West Bengal,Ahmedabad,131,137,17,285,11767389,2.421947639,195,68.42
2021,Kerala,Ahmedabad,84,29,17,130,7332065,1.773033927,110,84.62
2023,Bengaluru,Kochi,57,107,37,201,11356173,1.769962469,98,48.76
2022,Delhi,Mumbai,210,73,20,303,12767512,2.373211006,61,20.13
2020,Kerala,Bengaluru,210,141,39,390,29080869,1.341087847,273,70
2021,Kerala,Bengaluru,221,141,23,385,4114202,9.357829295,178,46.23
2021,Maharashtra,Bengaluru,233,84,11,328,18483318,1.774573158,300,91.46
2022,Delhi,Jaipur,56,27,10,93,21520190,0.432152318,47,50.54
2022,Maharashtra,Hyderabad,139,86,30,255,19119101,1.333744719,159,62.35
2021,Maharashtra,Ahmedabad,159,58,50,267,12601579,2.118782099,163,61.05
2021,Bengaluru,Kochi,66,119,31,216,28159378,0.767062397,123,56.94
2021,Tamil Nadu,Ahmedabad,160,123,11,294,28641704,1.02647524,203,69.05
2023,Tamil Nadu,Ahmedabad,123,61,40,224,4630370,4.837626367,147,65.62
2021,Rajasthan,Chennai,233,149,45,427,9819593,4.348449065,257,60.19
2023,Maharashtra,Lucknow,183,140,49,372,9102841,4.086636249,276,74.19
2021,Uttar Pradesh,Jaipur,197,73,49,319,4964282,6.425904088,181,56.74
2023,Kerala,Bengaluru,114,47,29,190,16209640,1.172142009,94,49.47
2022,Rajasthan,Ahmedabad,195,130,17,342,20086668,1.702621858,146,42.69
2023,Rajasthan,Jaipur,139,43,33,215,10831820,1.984892659,161,74.88
2023,Gujarat,Ahmedabad,163,31,16,210,13549975,1.549818358,43,20.48
2021,Kerala,New Delhi,272,10,26,308,2857571,10.77838486,135,43.83
2021,Maharashtra,Mumbai,253,83,38,374,18861001,1.982927629,356,95.19
2022,Gujarat,Chennai,112,32,36,180,27113961,0.663864642,100,55.56
2020,Gujarat,Hyderabad,76,28,14,118,21170942,0.557367735,91,77.12
2021,Kerala,Kolkata,261,126,47,434,8541362,5.081156846,40,9.22
2021,Rajasthan,Lucknow,193,44,18,255,8720215,2.924239827,192,75.29
2020,Karnataka,New Delhi,108,34,18,160,8168634,1.958711824,148,92.5
2022,Delhi,Kolkata,132,103,30,265,6686956,3.962939191,203,76.6
2022,Kerala,Ahmedabad,220,91,42,353,8237741,4.28515536,296,83.85
2021,Maharashtra,Bengaluru,300,128,50,478,9789784,4.882640924,392,82.01
2021,Rajasthan,Jaipur,180,12,43,235,15351730,1.530772102,125,53.19
2023,Delhi,Jaipur,298,77,30,405,12841216,3.15390692,296,73.09
2020,Tamil Nadu,New Delhi,207,105,40,352,16885324,2.084650552,200,56.82
2023,Tamil Nadu,Mumbai,210,13,22,245,28492947,0.859861916,238,97.14
2022,Karnataka,Hyderabad,50,80,41,171,3974188,4.302765747,45,26.32
2021,West Bengal,Mumbai,129,67,14,210,10275542,2.043687817,154,73.33
2022,West Bengal,Bengaluru,52,147,43,242,19996216,1.210228975,183,75.62
2020,Bengaluru,Jaipur,198,130,39,367,16097885,2.279802595,51,13.9
2023,Tamil Nadu,Kochi,228,74,33,335,3211577,10.43101255,154,45.97
2021,Rajasthan,Kolkata,136,147,6,289,2801042,10.31758895,181,62.63
2022,Uttar Pradesh,Chennai,259,60,21,340,5248536,6.477996912,128,37.65
2020,Rajasthan,Hyderabad,114,76,14,204,7053301,2.892262786,148,72.55
2022,West Bengal,Chennai,68,60,42,170,25846462,0.657730253,110,64.71
2021,Karnataka,Ahmedabad,275,58,13,346,26189796,1.32112522,43,12.43
2022,Kerala,New Delhi,111,131,45,287,21801071,1.316449086,54,18.82
2021,Uttar Pradesh,New Delhi,252,128,14,394,9620614,4.095372707,176,44.67
2020,Bengaluru,Jaipur,217,58,6,281,10157012,2.766561662,173,61.57
2022,Kerala,Chennai,164,55,8,227,23309778,0.973840249,61,26.87
2020,Karnataka,Hyderabad,251,104,25,380,6151718,6.177136208,160,42.11
2021,Rajasthan,Hyderabad,195,67,5,267,6123942,4.359936786,97,36.33
2023,West Bengal,New Delhi,114,111,37,262,14652181,1.788129699,153,58.4
2023,Gujarat,Lucknow,180,23,41,244,16282967,1.4984984,33,13.52
2023,Karnataka,Ahmedabad,146,78,17,241,7267823,3.315986094,163,67.63
2022,Uttar Pradesh,Jaipur,155,77,5,237,1705205,13.89862216,113,47.68
2020,Gujarat,New Delhi,293,65,39,397,6223089,6.37946846,155,39.04
2022,Uttar Pradesh,Lucknow,139,150,15,304,18126047,1.677144498,71,23.36
2023,Rajasthan,Bengaluru,177,80,36,293,1318501,22.22220537,287,97.95
2021,West Bengal,Hyderabad,134,140,39,313,3986051,7.852383223,62,19.81
2020,Tamil Nadu,Lucknow,108,119,23,250,22642298,1.104128212,150,60
2022,Kerala,Jaipur,96,148,32,276,18360503,1.503226791,258,93.48
2020,Kerala,Ahmedabad,188,70,43,301,27116683,1.11001777,150,49.83
2023,Kerala,Lucknow,96,52,9,157,5011525,3.132778945,30,19.11
2023,Maharashtra,Hyderabad,210,116,49,375,1088529,34.45016164,192,51.2
2023,Karnataka,Bengaluru,142,86,7,235,29758938,0.789678718,65,27.66
2023,Gujarat,Ahmedabad,134,101,19,254,29761989,0.853437584,235,92.52
2022,Kerala,Mumbai,187,108,41,336,11158249,3.011225148,30,8.93
2023,Uttar Pradesh,Lucknow,82,70,36,188,22000448,0.854528053,175,93.09
2021,West Bengal,Kolkata,176,129,44,349,10137165,3.442777147,141,40.4
2023,Karnataka,Ahmedabad,261,136,40,437,14269558,3.062463462,352,80.55
2021,Kerala,Mumbai,127,66,24,217,27645122,0.784948607,61,28.11
2020,Bengaluru,Mumbai,115,146,35,296,21298375,1.389777389,180,60.81
2022,Kerala,Kolkata,201,101,48,350,7246042,4.830223176,162,46.29
2020,Gujarat,Bengaluru,299,21,41,361,1409526,25.61144668,74,20.5
2022,Gujarat,Ahmedabad,166,101,19,286,10930124,2.616621733,147,51.4
2020,Bengaluru,Bengaluru,191,57,13,261,14523964,1.797030067,190,72.8
2022,Kerala,New Delhi,181,69,48,298,24526003,1.215036955,81,27.18
2022,Uttar Pradesh,Jaipur,76,110,43,229,2192815,10.44319744,198,86.46
2022,Tamil Nadu,Bengaluru,61,150,10,221,22281544,0.99185227,72,32.58
2023,Bengaluru,Chennai,65,99,34,198,7320607,2.70469375,74,37.37
2022,Tamil Nadu,Kolkata,230,106,7,343,1535176,22.3427151,36,10.5
2020,Rajasthan,New Delhi,134,79,13,226,13716630,1.647635024,79,34.96
2022,Karnataka,Lucknow,171,91,37,299,22975684,1.301375837,141,47.16
2021,West Bengal,Hyderabad,168,19,15,202,29535002,0.683934269,35,17.33
2021,Delhi,Chennai,264,129,47,440,22180819,1.983695913,91,20.68
2020,Rajasthan,Ahmedabad,299,69,18,386,11620512,3.321712503,383,99.22
2023,Kerala,Kochi,205,78,9,292,28247563,1.033717493,45,15.41
2021,Rajasthan,Kolkata,78,59,36,173,16008104,1.080702624,67,38.73
2021,Maharashtra,Chennai,155,60,50,265,4625416,5.72921441,67,25.28
2023,Uttar Pradesh,Chennai,139,80,46,265,2068582,12.81070801,204,76.98
2022,Kerala,Lucknow,247,13,13,273,17364471,1.572175737,189,69.23
2020,Bengaluru,Ahmedabad,175,17,24,216,29946157,0.721294555,83,38.43
2021,Rajasthan,New Delhi,235,121,40,396,7805647,5.073250174,255,64.39
2021,Rajasthan,Jaipur,268,113,39,420,8483732,4.950651435,234,55.71
2022,Delhi,Lucknow,162,32,50,244,28631649,0.852203797,123,50.41
2022,Uttar Pradesh,Kochi,167,33,34,234,11914431,1.964004827,117,50
2021,Maharashtra,Mumbai,228,105,26,359,15035307,2.387713134,80,22.28
2022,Uttar Pradesh,Ahmedabad,156,133,8,297,19208422,1.546196767,53,17.85
2020,West Bengal,Lucknow,206,58,38,302,9916601,3.045398317,109,36.09
2022,Karnataka,Lucknow,146,42,32,220,3236633,6.797187077,214,97.27
2022,Bengaluru,Chennai,141,52,20,213,21028691,1.012901849,157,73.71
2020,Uttar Pradesh,Kochi,179,80,50,309,14302613,2.160444389,293,94.82
2022,Gujarat,Hyderabad,197,60,29,286,3176652,9.003189522,252,88.11
2021,Tamil Nadu,Kolkata,174,66,15,255,6865786,3.714068571,161,63.14
2023,Tamil Nadu,Ahmedabad,238,16,18,272,8574606,3.172157415,142,52.21
2020,Karnataka,New Delhi,245,21,23,289,25513546,1.132731609,146,50.52
2020,Rajasthan,Kolkata,97,87,11,195,5680229,3.432960185,34,17.44
2022,Tamil Nadu,New Delhi,161,13,13,187,13056944,1.432188114,66,35.29
2023,Tamil Nadu,Kochi,149,116,46,311,17003293,1.829057466,292,93.89
2023,Karnataka,Hyderabad,291,32,9,332,28341506,1.171426811,142,42.77
2022,Rajasthan,Kolkata,233,130,11,374,7218648,5.181025588,370,98.93
2021,Tamil Nadu,Chennai,221,68,40,329,22712096,1.448567318,33,10.03
2022,West Bengal,Kolkata,209,67,25,301,20204690,1.489753122,270,89.7
2020,Karnataka,Lucknow,268,78,24,370,19296896,1.91740682,341,92.16
2021,Rajasthan,Kolkata,220,111,19,350,3342670,10.47067165,233,66.57
2023,Uttar Pradesh,New Delhi,158,90,24,272,17126127,1.588216647,98,36.03
2023,Karnataka,Kochi,148,124,33,305,19043746,1.601575656,167,54.75
2022,Gujarat,Lucknow,142,61,12,215,1390003,15.46759252,33,15.35
2022,Bengaluru,Lucknow,111,54,19,184,22380213,0.82215482,171,92.93
2022,West Bengal,New Delhi,189,64,15,268,23154173,1.157458744,40,14.93
2020,Karnataka,Mumbai,88,40,11,139,1620477,8.577721251,39,28.06
2020,Delhi,Bengaluru,208,47,49,304,14410991,2.109501005,183,60.2
2020,Maharashtra,Chennai,62,87,42,191,13822916,1.381763443,168,87.96
2023,Kerala,Lucknow,283,136,10,429,15608491,2.748504003,69,16.08
2021,Uttar Pradesh,Ahmedabad,206,141,10,357,16053430,2.223823818,151,42.3
2020,Bengaluru,New Delhi,250,125,43,418,29037204,1.439532539,237,56.7
2023,Bengaluru,Kolkata,102,68,15,185,21473619,0.861522224,102,55.14
2020,Bengaluru,Jaipur,253,150,21,424,2361263,17.95649193,35,8.25
2021,Kerala,Lucknow,191,116,42,349,22010226,1.585626608,262,75.07
2020,West Bengal,Kochi,259,108,25,392,16359655,2.396138549,51,13.01
2022,West Bengal,Mumbai,195,84,29,308,21217616,1.451623971,135,43.83
2020,Karnataka,Mumbai,204,86,9,299,8520519,3.509175908,30,10.03
2023,Delhi,Mumbai,77,27,11,115,8318373,1.382481887,55,47.83
2020,Maharashtra,Mumbai,284,16,48,348,10252417,3.394321554,48,13.79
2023,Bengaluru,Lucknow,209,99,47,355,21078560,1.684175769,248,69.86
2021,Gujarat,Bengaluru,167,88,19,274,2112847,12.96828403,83,30.29
2023,Delhi,Hyderabad,206,78,5,289,19410644,1.488873836,230,79.58
2023,Kerala,Hyderabad,192,59,47,298,3972947,7.500729307,218,73.15
2023,Uttar Pradesh,Kolkata,248,66,21,335,26274599,1.274995672,59,17.61
2023,Gujarat,Bengaluru,283,129,47,459,18087450,2.537671148,82,17.86
2020,West Bengal,Jaipur,102,86,19,207,28982133,0.714233145,176,85.02
2023,Bengaluru,Chennai,141,54,12,207,8649040,2.393329202,188,90.82
2023,Karnataka,Ahmedabad,62,15,35,112,15281076,0.732932681,72,64.29
2020,Delhi,New Delhi,70,77,43,190,20525990,0.925655717,32,16.84
2023,Gujarat,Kolkata,229,46,21,296,15825086,1.870447971,255,86.15
2021,Karnataka,Bengaluru,172,14,30,216,29949918,0.721203978,88,40.74
2023,Kerala,Kolkata,256,77,39,372,9253138,4.020257776,229,61.56
2020,Karnataka,Chennai,220,52,26,298,26752551,1.113912464,164,55.03
2021,Kerala,New Delhi,242,55,48,345,16998352,2.029608517,282,81.74
2020,Bengaluru,Kolkata,163,118,28,309,5733000,5.389848247,184,59.55
2023,Delhi,Kochi,165,123,45,333,10886419,3.058857095,302,90.69
2022,Gujarat,Ahmedabad,68,45,18,131,5003859,2.617979443,84,64.12
2020,Bengaluru,Kolkata,286,78,36,400,14404471,2.776915584,298,74.5
2020,Maharashtra,Hyderabad,293,46,40,379,28626258,1.323959282,114,30.08
2021,Kerala,Lucknow,83,11,46,140,29542703,0.473890287,77,55
2022,Gujarat,Mumbai,213,66,18,297,18299923,1.622957649,212,71.38
2021,Karnataka,New Delhi,72,120,9,201,24045765,0.835906032,183,91.04
2022,Maharashtra,Lucknow,143,112,32,287,11948531,2.401968911,139,48.43
2020,Gujarat,Mumbai,66,104,46,216,28166237,0.766875604,130,60.19
2023,Delhi,Kolkata,212,73,19,304,23068780,1.31779834,32,10.53
2023,Bengaluru,Ahmedabad,290,22,27,339,11030863,3.073195633,48,14.16
2023,Rajasthan,New Delhi,170,11,31,212,12164955,1.742710927,77,36.32
2022,Gujarat,Hyderabad,184,17,23,224,17734850,1.263049871,82,36.61
2022,Kerala,Hyderabad,146,80,20,246,24890335,0.988335432,47,19.11
2022,Tamil Nadu,Bengaluru,116,133,5,254,11850057,2.143449605,212,83.46
2020,Rajasthan,New Delhi,200,48,20,268,24967577,1.073392104,244,91.04
2022,Bengaluru,Kochi,279,50,12,341,1039614,32.80063562,266,78.01
2023,Rajasthan,New Delhi,210,136,42,388,4175709,9.291835231,262,67.53
2023,Bengaluru,Jaipur,227,47,50,324,13675027,2.369282342,107,33.02
2023,Tamil Nadu,Kolkata,296,91,31,418,3762360,11.11004795,121,28.95
2021,Tamil Nadu,Chennai,221,54,34,309,19194019,1.609876493,109,35.28
2020,Karnataka,Lucknow,79,116,7,202,29681437,0.680560042,59,29.21
2022,Tamil Nadu,Jaipur,73,113,9,195,27745014,0.702828984,182,93.33
2023,Maharashtra,Bengaluru,252,37,13,302,19891761,1.518216512,78,25.83
2022,Rajasthan,Bengaluru,152,107,15,274,12703709,2.156850413,132,48.18
2020,Uttar Pradesh,New Delhi,108,126,13,247,29154384,0.847213922,123,49.8
2023,Bengaluru,New Delhi,52,132,33,217,9998764,2.170268245,68,31.34
2022,Uttar Pradesh,New Delhi,251,25,25,301,24724422,1.217419764,109,36.21
2020,Karnataka,New Delhi,232,146,50,428,16841434,2.541351289,133,31.07
2020,Rajasthan,Chennai,88,119,14,221,29575661,0.747236047,88,39.82
2023,Tamil Nadu,New Delhi,245,136,8,389,20493063,1.898203309,97,24.94
2022,Rajasthan,Bengaluru,134,126,25,285,3713424,7.67485749,90,31.58
2023,West Bengal,Lucknow,170,123,50,343,13897392,2.468088977,237,69.1
2022,Delhi,Hyderabad,83,65,17,165,3081185,5.355082541,152,92.12
2023,Delhi,Chennai,78,35,32,145,28397977,0.510599752,145,100
2022,Gujarat,Lucknow,282,34,34,350,11366927,3.079108364,273,78
2022,Tamil Nadu,New Delhi,155,44,28,227,12867037,1.764197927,200,88.11
2021,Gujarat,Chennai,111,69,23,203,5999362,3.383693133,168,82.76
2023,Kerala,Kolkata,230,148,7,385,24766672,1.554508414,206,53.51
2023,Gujarat,Chennai,243,36,48,327,9189214,3.558519804,210,64.22
2022,Uttar Pradesh,Kochi,287,56,27,370,24035459,1.539392279,139,37.57
2023,Maharashtra,Mumbai,185,85,26,296,12189996,2.428220649,128,43.24
2020,Rajasthan,Hyderabad,98,91,15,204,10147796,2.010288737,42,20.59
2023,Uttar Pradesh,Mumbai,107,26,30,163,29563150,0.551362084,63,38.65
2020,Gujarat,Chennai,136,131,49,316,24572632,1.285983528,304,96.2
2020,Tamil Nadu,Jaipur,207,18,6,231,4466111,5.172285239,108,46.75
2021,Uttar Pradesh,Ahmedabad,157,137,27,321,5213119,6.157542155,93,28.97
2023,Kerala,Mumbai,257,50,16,323,1648419,19.5945327,125,38.7
2023,Bengaluru,Bengaluru,137,90,43,270,9591686,2.814937853,237,87.78
2023,Delhi,Hyderabad,191,93,8,292,26514226,1.101295584,129,44.18
2022,West Bengal,Lucknow,74,101,47,222,19453435,1.141186634,116,52.25
